cadena,bandera,provincia,lat,lon,id_comercio,id_sucursal
Carrefour,Hipermercado Carrefour,AR-A,-37.109035,-56.893105,10,73
Carrefour,Hipermercado Carrefour,AR-A,-34.343910,-58.789791,10,187
Carrefour,Hipermercado Carrefour,AR-A,-24.789072,-65.413696,10,112
Carrefour,Hipermercado Carrefour,AR-A,-24.781284,-65.401665,10,171
Carrefour,Hipermercado Carrefour,AR-A,-24.779652,-65.427437,10,175
Carrefour,Hipermercado Carrefour,AR-A,-24.187189,-65.303711,10,502
Carrefour,Hipermercado Carrefour,AR-B,-38.929333,-69.207413,10,68
Carrefour,Hipermercado Carrefour,AR-B,-38.720409,-62.267941,10,114
Carrefour,Hipermercado Carrefour,AR-B,-38.000668,-57.547722,10,191
Carrefour,Hipermercado Carrefour,AR-B,-37.998924,-57.553650,10,130
Carrefour,Hipermercado Carrefour,AR-B,-37.953876,-57.579193,10,22
Carrefour,Hipermercado Carrefour,AR-B,-37.326473,-59.135086,10,134
Carrefour,Hipermercado Carrefour,AR-B,-37.324112,-59.114567,10,31
Carrefour,Hipermercado Carrefour,AR-B,-37.314388,-59.148590,10,57
Carrefour,Hipermercado Carrefour,AR-B,-36.908070,-60.314098,10,296
Carrefour,Hipermercado Carrefour,AR-B,-36.893696,-60.321651,10,139
Carrefour,Hipermercado Carrefour,AR-B,-36.610397,-64.281609,10,67
Carrefour,Hipermercado Carrefour,AR-B,-34.923012,-57.949932,10,144
Carrefour,Hipermercado Carrefour,AR-B,-34.913498,-57.951820,10,109
Carrefour,Hipermercado Carrefour,AR-B,-34.893654,-57.996155,10,8
Carrefour,Hipermercado Carrefour,AR-B,-34.889130,-58.385269,10,457
Carrefour,Hipermercado Carrefour,AR-B,-34.883091,-58.388229,10,56
Carrefour,Hipermercado Carrefour,AR-B,-34.859303,-58.386272,10,450
Carrefour,Hipermercado Carrefour,AR-B,-34.851158,-58.077030,10,445
Carrefour,Hipermercado Carrefour,AR-B,-34.828178,-58.390160,10,448
Carrefour,Hipermercado Carrefour,AR-B,-34.815907,-58.427563,10,451
Carrefour,Hipermercado Carrefour,AR-B,-34.812069,-58.399418,10,23
Carrefour,Hipermercado Carrefour,AR-B,-34.810017,-58.457241,10,461
Carrefour,Hipermercado Carrefour,AR-B,-34.808044,-58.275429,10,449
Carrefour,Hipermercado Carrefour,AR-B,-34.799053,-58.395115,10,388
Carrefour,Hipermercado Carrefour,AR-B,-34.788540,-58.522472,10,496
Carrefour,Hipermercado Carrefour,AR-B,-34.780838,-58.457943,10,16
Carrefour,Hipermercado Carrefour,AR-B,-34.780472,-58.263130,10,444
Carrefour,Hipermercado Carrefour,AR-B,-34.779587,-58.279266,10,49
Carrefour,Hipermercado Carrefour,AR-B,-34.773098,-58.645218,10,477
Carrefour,Hipermercado Carrefour,AR-B,-34.768772,-58.411274,10,231
Carrefour,Hipermercado Carrefour,AR-B,-34.760265,-58.206631,10,495
Carrefour,Hipermercado Carrefour,AR-B,-34.753174,-58.238293,10,452
Carrefour,Hipermercado Carrefour,AR-B,-34.752495,-58.343235,10,464
Carrefour,Hipermercado Carrefour,AR-B,-34.751656,-58.583439,10,498
Carrefour,Hipermercado Carrefour,AR-B,-34.750546,-58.586040,10,471
Carrefour,Hipermercado Carrefour,AR-B,-34.748714,-58.223591,10,704
Carrefour,Hipermercado Carrefour,AR-B,-34.748146,-58.411228,10,52
Carrefour,Hipermercado Carrefour,AR-B,-34.737007,-58.435219,10,706
Carrefour,Hipermercado Carrefour,AR-B,-34.735912,-58.277988,10,7
Carrefour,Hipermercado Carrefour,AR-B,-34.735218,-58.433861,10,453
Carrefour,Hipermercado Carrefour,AR-B,-34.729679,-58.263924,10,462
Carrefour,Hipermercado Carrefour,AR-B,-34.729202,-58.352894,10,446
Carrefour,Hipermercado Carrefour,AR-B,-34.722370,-58.339005,10,459
Carrefour,Hipermercado Carrefour,AR-B,-34.720951,-58.363083,10,460
